ID,Weekly_Sales
1_1_2012-11-02,5363.717785
1_1_2012-11-09,5521.186118
1_1_2012-11-16,5386.2459
1_1_2012-11-23,7106.515993
1_1_2012-11-30,5302.410648
1_1_2012-12-07,5453.648114
1_1_2012-12-14,5114.402263
1_1_2012-12-21,5239.140312
1_1_2012-12-28,4963.495649
1_1_2013-01-04,4651.051329
1_1_2013-01-11,5022.512686
1_1_2013-01-18,5041.278571
1_1_2013-01-25,5160.002729
1_1_2013-02-01,5240.404807
1_1_2013-02-08,6178.315411
1_1_2013-02-15,5895.649931
1_1_2013-02-22,5627.0189
1_1_2013-03-01,5573.531511
1_1_2013-03-08,5429.895739
1_1_2013-03-15,5382.447747
1_1_2013-03-22,5606.419858
1_1_2013-03-29,5637.884211
1_1_2013-04-05,5602.540519
1_1_2013-04-12,5417.028791
1_1_2013-04-19,5432.941661
1_1_2013-04-26,5365.375278
1_1_2013-05-03,7200.028937
1_1_2013-05-10,7134.565494
1_1_2013-05-17,7336.482956
1_1_2013-05-24,7565.227814
1_1_2013-05-31,7554.532779
1_1_2013-06-07,7499.951172
1_1_2013-06-14,7509.702147
1_1_2013-06-21,7601.324815
1_1_2013-06-28,7671.21327
1_1_2013-07-05,7537.646033
1_1_2013-07-12,7539.424947
1_1_2013-07-19,7668.254641
1_1_2013-07-26,7779.455416
1_2_2012-11-02,5250.837962
1_2_2012-11-09,5399.039564
1_2_2012-11-16,5250.797369
1_2_2012-11-23,7117.336041
1_2_2012-11-30,5172.59702
1_2_2012-12-07,5315.7525
1_2_2012-12-14,4990.711014
1_2_2012-12-21,5112.02056
1_2_2012-12-28,4884.707598
1_2_2013-01-04,4545.743025
1_2_2013-01-11,4901.4467
1_2_2013-01-18,4919.77073
1_2_2013-01-25,5033.224246
1_2_2013-02-01,5105.331313
1_2_2013-02-08,6167.225222
1_2_2013-02-15,5780.968563
1_2_2013-02-22,5611.47065
1_2_2013-03-01,5560.283419
1_2_2013-03-08,5417.735399
1_2_2013-03-15,5370.787098
1_2_2013-03-22,5594.459969
1_2_2013-03-29,5615.926196
1_2_2013-04-05,5590.626252
1_2_2013-04-12,5406.433263
1_2_2013-04-19,5422.950361
1_2_2013-04-26,5318.404345
1_2_2013-05-03,6968.095542
1_2_2013-05-10,6905.288973
1_2_2013-05-17,7096.64719
1_2_2013-05-24,7413.209739
1_2_2013-05-31,7403.213049
1_2_2013-06-07,7325.517061
1_2_2013-06-14,7358.185558
1_2_2013-06-21,7446.946589
1_2_2013-06-28,7514.571887
1_2_2013-07-05,7384.756462
1_2_2013-07-12,7388.685016
1_2_2013-07-19,7511.791436
1_2_2013-07-26,7618.403391
1_3_2012-11-02,5119.051076
1_3_2012-11-09,5262.20943
1_3_2012-11-16,5123.135177
1_3_2012-11-23,7128.705712
1_3_2012-11-30,5049.297692
1_3_2012-12-07,5185.389607
1_3_2012-12-14,4873.228001
1_3_2012-12-21,4991.25525
1_3_2012-12-28,4808.969779
1_3_2013-01-04,4445.587894
1_3_2013-01-11,4786.419751
1_3_2013-01-18,4804.368385
1_3_2013-01-25,4912.831459
1_3_2013-02-01,4977.276122
1_3_2013-02-08,6154.9352
1_3_2013-02-15,5626.235058
1_3_2013-02-22,5472.02136
1_3_2013-03-01,5495.051321
1_3_2013-03-08,5368.539747
1_3_2013-03-15,5350.710378
1_3_2013-03-22,5582.750824
1_3_2013-03-29,5488.080796
1_3_2013-04-05,5499.592005
1_3_2013-04-12,5365.911251
1_3_2013-04-19,5361.826791
1_3_2013-04-26,5184.852556
1_3_2013-05-03,6746.375093
1_3_2013-05-10,6686.129844
1_3_2013-05-17,6867.521547
1_3_2013-05-24,7186.206434
1_3_2013-05-31,7174.841792
1_3_2013-06-07,7086.68858
1_3_2013-06-14,7121.619515
1_3_2013-06-21,7262.037293
1_3_2013-06-28,7362.538723
1_3_2013-07-05,7146.875633
1_3_2013-07-12,7199.094935
1_3_2013-07-19,7354.420813
1_3_2013-07-26,7462.095374
1_4_2012-11-02,4994.006962
1_4_2012-11-09,5132.612777
1_4_2012-11-16,5001.912925
1_4_2012-11-23,7140.635066
1_4_2012-11-30,4932.187561
1_4_2012-12-07,5061.597773
1_4_2012-12-14,4754.444212
1_4_2012-12-21,4876.531493
1_4_2012-12-28,4736.192386
1_4_2013-01-04,4350.334474
1_4_2013-01-11,4677.131523
1_4_2013-01-18,4665.501409
1_4_2013-01-25,4798.502497
1_4_2013-02-01,4855.865992
1_4_2013-02-08,6040.379922
1_4_2013-02-15,5475.338502
1_4_2013-02-22,5326.035137
1_4_2013-03-01,5349.478214
1_4_2013-03-08,5229.610264
1_4_2013-03-15,5213.949934
1_4_2013-03-22,5489.960295
1_4_2013-03-29,5345.099184
1_4_2013-04-05,5359.236374
1_4_2013-04-12,5229.294859
1_4_2013-04-19,5226.766589
1_4_2013-04-26,5058.104607
1_4_2013-05-03,6534.500456
1_4_2013-05-10,6476.87113
1_4_2013-05-17,6648.703687
1_4_2013-05-24,6953.30958
1_4_2013-05-31,6942.690702
1_4_2013-06-07,6858.586027
1_4_2013-06-14,6889.995059
1_4_2013-06-21,7023.572354
1_4_2013-06-28,7136.294115
1_4_2013-07-05,6913.952196
1_4_2013-07-12,6966.471816
1_4_2013-07-19,7111.392199
1_4_2013-07-26,7277.146563
1_5_2012-11-02,4875.355369
1_5_2012-11-09,5009.644661
1_5_2012-11-16,4886.807664
1_5_2012-11-23,7153.143501
1_5_2012-11-30,4811.083137
1_5_2012-12-07,4944.048302
1_5_2012-12-14,4582.892573
1_5_2012-12-21,4745.489293
1_5_2012-12-28,4656.167142
1_5_2013-01-04,4206.71379
1_5_2013-01-11,4573.297864
1_5_2013-01-18,4499.055166
1_5_2013-01-25,4689.743057
1_5_2013-02-01,4735.823815
1_5_2013-02-08,5931.421468
1_5_2013-02-15,5332.680557
1_5_2013-02-22,5188.524978
1_5_2013-03-01,5212.417812
1_5_2013-03-08,5097.98611
1_5_2013-03-15,5082.641544
1_5_2013-03-22,5345.508349
1_5_2013-03-29,5210.385641
1_5_2013-04-05,5224.119054
1_5_2013-04-12,5099.751373
1_5_2013-04-19,5098.638115
1_5_2013-04-26,4937.81025
1_5_2013-05-03,6333.568006
